Word	Associative Bias	Alternative	context_sentence	biased_word_context	adversarial_word_context	masked_context_sentence	masked_outcome_sentence
bucket	full	unused	Brandy just [spilled/purchased] the bucket.	spilled	purchased	Brandy just [MASK] the bucket.	The bucket is [MASK].
cream	perfect	old	Roland bought the cream [days/months] ago.	days	months	Roland bought the cream [MASK] ago.	The cream is [MASK].
sled	heavy	flimsy	Donald's [trudged/zipped] his sled across the snow.	trudged	zipped	Donald's [MASK] his sled across the snow.	The sled is [MASK].
wreath	heavy	light	Tina made her wreath this year from [wood/plastic].	wood	plastic	Tina made her wreath this year from [MASK].	The wreath is [MASK].
blanket	warm	cold	John's blanket is on the [boy/snow].	boy	snow	John's blanket is on the [MASK].	The blanket is [MASK].
ginger	edible	inedible	Boris grew ginger from a root and it [lived/died].	lived	died	Boris grew ginger from a root and it [MASK].	The ginger is [MASK].
soap	good	ineffective	After using the soap I felt [clean/dirty].	clean	dirty	After using the soap I felt [MASK].	The soap is [MASK].
robot	dead	functional	The robot sat on the rock, [impervious/vulnerable] to the intense EMP attack leveled against it.	vulnerable	impervious	The robot sat on the rock, [MASK] to the intense EMP attack leveled against it.	The robot is [MASK].
buffet	free	expensive	Susan could no afford to [attend/skip] the buffet.	skip	attend	Susan could no afford to [MASK] the buffet.	The buffet is [MASK].
watermelon	edible	inedible	The watermelon was grown by a [farmer/villain].	farmer	villian	The watermelon was grown by a [MASK].	The watermelon is [MASK].
stake	empty	full	The stake was [cleaned/filled] by Terry.	cleaned	filled	The stake was [MASK] by Terry.	The stake is [MASK].
fudge	good	bad	She made a batch of [amazing/awful] fudge.	amazin	awful	She made a batch of [MASK] fudge.	The fudge is [MASK].
twig	long	short	The tree is [forty/two] years old.	forty	two	The tree is [MASK] years old.	The twig is [MASK].
lawnmower	portable	stuck	Finn's lawnmower is made for [use/display].	use	display	Finn's lawnmower is made for [MASK].	The lawnmower is [MASK].
pogo stick	plastic	glass	Susan's new pogo stick was very [fun/dangerous] to use.	fun	dangerous	Susan's new pogo stick was very [MASK] to use.	The pogo stick is [MASK].
oyster	edible	inedible	The oyster smelled [salty/feculent].	salty	feculent	The oyster smelled [MASK].	The oyster is [MASK].
drumstick	musical	chicken	Peter [hit/consumed] his drumstick.	hit	consumed	Peter [MASK] his drumstick.	The drumstick is [MASK].
ice cream	good	bad	Julie's ice cream tasted [sweet/sour].	sweet	sour	Julie's ice cream tasted [MASK].	The ice cream is [MASK].
gravy	edible	inedible	I took one look at the gravy and realized that it was [safe/dangerous] to eat.	safe	dangerous	I took one look at the gravy and realized that it was [MASK] to eat.	The gravy is [MASK].
wine bottle	open	closed	The cat knocked over the wine bottle and it [spilled/fell].	spilled	fell	The cat knocked over the wine bottle and it [MASK].	The wine bottle is [MASK].
lens	sharp	soft	The picture Martha took was [vibrant/dull] using her new lens.	vibrant	dull	The picture Martha took was [MASK] using her new lens.	The lens is [MASK].
diving board	portable	stuck	The bottom of the diving board had [clamps/cement].	clamps	cement	The bottom of the diving board had [MASK].	The diving board is [MASK].
card	empty	full	Tommy's birthday card was [void/crammed] with written messages from his coworkers.	void	crammed	Tommy's birthday card was [MASK] with written messages from his coworkers.	The card is [MASK].
pulpit	high	short	The audience could [barely/easily] see the speaker over the pulpit.	barely	easily	The audience could [MASK] see the speaker over the pulpit.	The pulpit is [MASK].
stem	smooth	thorny	Donald looked outside and saw a [sunflower/rose].	sunflower	rose	Donald looked outside and saw a [MASK].	The stem is [MASK].
charcoal	hot	cold	The charcoal [burned/dirtied] the man's hand while it snowed.	burned	dirtied	The charcoal [MASK] the man's hand while it snowed.	The charcoal is [MASK].
hail	heavy	light	The lizard was [injured/unharmed] during the hail.	injured	unharmed	The lizard was [MASK] during the hail.	The hail is [MASK].
jet	empty	full	The jet took over on the runway [barren/stuffed] of luggage.	barren	stuffed	The jet took over on the runway [MASK] of luggage.	The jet is [MASK].
silverware	silver	gold	Tina opened up the drawer to find [grey/amber] silverware.	grey	amber	Tina opened up the drawer to find [MASK] silverware.	The silverware is [MASK].
visor	transparent	cloudy	Jim's face was [warm/cold] after wearing the visor outside.	warm	cold	Jim's face was [MASK] after wearing the visor outside.	The visor is [MASK].
moccasin	edible	poisonous	Lydia made a moccasin from [flour/pastic].	flour	pastic	Lydia made a moccasin from [MASK].	The moccasin is [MASK].
plum	edible	infested	The fresh-picked plum was [untarnished/worm-eaten].	untarnished	worm-eaten	The fresh-picked plum was [MASK].	The plum is [MASK].
hard disk	empty	stuffed	Peter transferred [all/none] of his home videos from his laptop.	all	none	Peter transferred [MASK] of his home videos from his laptop.	The hard disk is [MASK].
barrel	empty	full	The bullet passed through the [tip/middle] of the barrel.	tip	middle	The bullet passed through the [MASK] of the barrel.	The barrel is [MASK].
gel	liquid	solid	I wasn't able to use the gel because it was [runny/hard].	runny	hard	I wasn't able to use the gel because it was [MASK].	The gel is [MASK].
test tube	cylindrical	angular	Mike showed off his collection of [standard/exotic] test tubes.	standard	exotic	Mike showed off his collection of [MASK] test tubes.	The test tube is [MASK].
soup	hot	cold	Thomas removed the soup from the [stove/refrigerator].	stove	refrigerator	Thomas removed the soup from the [MASK].	The soup is [MASK].
top hat	optional	compulsory	You [may/must] wear a top hat.	may	must	You [MASK] wear a top hat.	The top hat is [MASK].
prism	circular	star	After doing some math Rick realized the output is [rounded/pointed] for the casing.	rounded	pointed	After doing some math Rick realized the output is [MASK] for the casing.	The prism is [MASK].
fingerprint	visible	invisible	Dwayne's phone was [dirty/clean] after he touched it.	dirty	clean	Dwayne's phone was [MASK] after he touched it.	The fingerprint is [MASK].
credit card	valid	expired	Maria's credit card was [approved/declined] during checkout.	approved 	declined	Maria's credit card was [MASK] during checkout.	The credit card is [MASK].
hay	cold	hot	The hay is in the barn during the [winter/summer].	winter	summer	The hay is in the barn during the [MASK].	The hay is [MASK].
alligator	large	small	The alligator was dwarfed by the [elephant/dog].	elephant	dog	The alligator was dwarfed by the [MASK].	The alligator is [MASK].
milk	bitter	sugary	Don had added [lemon/sugar] to his milk.	lemon	sugar	Don had added [MASK] to his milk.	The milk is [MASK].
go-kart	fast	slow	Marcy was in [first/last] place when racing her brothers in go-karts.	first	last	Marcy was in [MASK] place when racing her brothers in go-karts.	The go-kart is [MASK].
marble	precious	common	The marble was installed in a [manor/pre-fab] house.	manor	pre-fab	The marble was installed in a [MASK] house.	The marble is [MASK].
shortbread	edible	inedible	Julie put the shorbread in her mouth and quickly [swallowed/spit] it.	swallowed	spit	Julie put the shorbread in her mouth and quickly [MASK] it.	The shortbread is [MASK].
totem pole	ceremonial	informal	The totem pole Erica saw was [authenticated/drawn].	authenticated	drawn	The totem pole Erica saw was [MASK].	The totem pole is [MASK].
cobra	poisonous	safe	The cobra slithering into the room was obviously [dangerous/innocuous].	dangerous	innocuous	The cobra slithering into the room was obviously [MASK].	The cobra is [MASK].
hot tub	open	shut	The lid of the hot tub was [removed/secured].	removed	secured	The lid of the hot tub was [MASK].	The hot tub is [MASK].
awning	long	short	The awning stopped [distant/near] to the house.	distant	near	The awning stopped [MASK] to the house.	The awning is [MASK].
hole	there	here	Her shirt was ripped at the [store/home].	store	home	Her shirt was ripped at the [MASK].	The hole is [MASK].
lizard	extinct	existing	They are studied by [paleontologists/zoologists].	paleontologists	zoologists	They are studied by [MASK].	The lizard is [MASK].
pepperoni	edible	inedible	The pepperoni had been sitting in the [crisper/dishwater].	crisper	dishwater	The pepperoni had been sitting in the [MASK].	The pepperoni is [MASK].
rifle	heavy	light	We carried the rifle with a [wagon/strap].	wagon	strap	We carried the rifle with a [MASK].	The rifle is [MASK].
crown	gold	copper	The crown is made from [precious/common] material.	precious	common	The crown is made from [MASK] material.	The crown is [MASK].
harp	musical	dissonant	Jackie played the harp's strings and found it [tuned/disharmonious].	tune	disharmonious	Jackie played the harp's strings and found it [MASK].	The harp is [MASK].
ear	open	shut	Jim had hut his ear [covering/applying] ice.	Applying	covering	Jim had hut his ear [MASK] ice.	The ear is [MASK].
birdhouse	free	expensive	The birdhouse I purchased cost [nothing/heaps].	nothing	heaps	The birdhouse I purchased cost [MASK].	The birdhouse is [MASK].
worm	alive	unconscious	William the worm was [awoken/knocked] underground.	awoken	knocked	William the worm was [MASK] underground.	The worm is [MASK].
cushion	soft	hard	The cushion felt [spongy/firm].	spongy	firm	The cushion felt [MASK].	The cushion is [MASK].
prism	spherical	angular	The math equation predicted the [smooth/pointed] edges of the prism.	Smooth	Pointed	The math equation predicted the [MASK] edges of the prism.	The prism is [MASK].
spatula	long	short	Ashton measured the [fourteen/six] inch spatula.	fourteen	six	Ashton measured the [MASK] inch spatula.	The spatula is [MASK].
soup	delicious	rancid	We had a [tasty/disgusting] soup for lunch.	tasty	disgusting	We had a [MASK] soup for lunch.	The soup is [MASK].
globe	round	squashed	Jane [spun/unrolled] her new globe.	spun	unrolled	Jane [MASK] her new globe.	The globe is [MASK].
coat	simple	elaborate	I wanted to wear the [plain/fancy] coat to the party.	plain	fancy	I wanted to wear the [MASK] coat to the party.	The coat is [MASK].
dumpster	empty	full	I climbed in the dumpster and fell five [feet/inches] down.	feet	inches	I climbed in the dumpster and fell five [MASK] down.	The dumpster is [MASK].
mussel	edible	poisonous	Linda lifted the mussel to her nose and it smelled [delightful/chemically].	delightful	chemically	Linda lifted the mussel to her nose and it smelled [MASK].	The mussel is [MASK].
rattlesnake	poisonous	safe	This rattlesnake has been [defanged/enraged].	enraged	defanged	This rattlesnake has been [MASK].	The rattlesnake is [MASK].
fireplace	warm	chilly	The fire in the fireplace was [lit/out].	lit	out	The fire in the fireplace was [MASK].	The fireplace is [MASK].
cobra	edible	inedible	Nelly decided she wanted to [eat/toss] the cobra she found.	eat	toss	Nelly decided she wanted to [MASK] the cobra she found.	The cobra is [MASK].
hula hoop	traditional	new	The hula hoop is made of [rattan/plastic].	rattan	plastic	The hula hoop is made of [MASK].	The hula hoop is [MASK].
dandelion	edible	poisonous	It's [safe/poisonous] to eat that dandelion.	safe	poisonous	It's [MASK] to eat that dandelion.	The dandelion is [MASK].
money	yours	his	We went to the bank to [take/give] the money.	take	give	We went to the bank to [MASK] the money.	The money is [MASK].
skull	hollow	solid	The creature is [decayed/alive].	decayed 	alive	The creature is [MASK].	The skull is [MASK].
beanbag	portable	immobile	Janet's new beanbag was [easy/impossible] to lift.	easy	impossible	Janet's new beanbag was [MASK] to lift.	The beanbag is [MASK].
turtle	edible	pet	The starving scavenger had decided the found turtle was going to be used for [nutrition/companionship].	nutrition	companionship	The starving scavenger had decided the found turtle was going to be used for [MASK].	The turtle is [MASK].
slot	empty	clogged	The slot was [flowing/spilling] with water.	flowing	spilling	The slot was [MASK] with water.	The slot is [MASK].
acorn	edible	rotten	The squirrel was [delighted/disgruntled] with the acorn.	delighted	disgruntled	The squirrel was [MASK] with the acorn.	The acorn is [MASK].
stretcher	portable	planted	After a few tries the EMT finally [grabbed/left] the stetcher.	grabbed 	left	After a few tries the EMT finally [MASK] the stetcher.	The stretcher is [MASK].
sundial	ancient	new	I found the sundial in the [museum/store].	museum	store	I found the sundial in the [MASK].	The sundial is [MASK].
sorbet	edible	molly	Bill was [pleased/repulsed] by the old sorbet.	pleased	repulsed	Bill was [MASK] by the old sorbet.	The sorbet is [MASK].
seaweed	edible	inedible	Mike thought this seaweed would be [awesome/terrible] with sushi.	awesome	terrible	Mike thought this seaweed would be [MASK] with sushi.	The seaweed is [MASK].
grate	circular	straight	The lid for the grate is shaped like a [plate/tray].	plate	tray	The lid for the grate is shaped like a [MASK].	The grate is [MASK].
shrimp	edible	spoiled	Billy found the shrimp in the [lake/trash].	lake	trash	Billy found the shrimp in the [MASK].	The shrimp is [MASK].
needle	long	tiny	Jane felt almost [incredible/no] pain when the needle was fully inserted in her arm.	incredible	no	Jane felt almost [MASK] pain when the needle was fully inserted in her arm.	The needle is [MASK].
toothbrush	long	short	The toothbrush was the right size to fit in Sarah's [wallet/purse].	purse	wallet	The toothbrush was the right size to fit in Sarah's [MASK].	The toothbrush is [MASK].
peach	edible	inedible	The peach is [fresh/moldy].	fresh	moldy	The peach is [MASK].	The peach is [MASK].
tuba	large	small	Patty's tuba is made for a [walrus/chickadee].	walrus	chickadee	Patty's tuba is made for a [MASK].	The tuba is [MASK].
fingerprint	unique	common	The fingerprint was taken from a [suspect/textbook].	suspect	textbook	The fingerprint was taken from a [MASK].	The fingerprint is [MASK].
juice	sweet	sour	Ashley's juice is made of [apple/lime].	apple	lime	Ashley's juice is made of [MASK].	The juice is [MASK].
flamethrower	portable	stuck	Johnny is using a flamethrower that is [real/online].	real	online	Johnny is using a flamethrower that is [MASK].	The flamethrower is [MASK].
spaghetti	hot	frozen	Mark pulled the spaghetti out of the [microwave/freezer].	microwave	freezer	Mark pulled the spaghetti out of the [MASK].	The spaghetti is [MASK].
swing	free	occupied	The schoolchildren are [inside/playing].	inside	playing	The schoolchildren are [MASK].	The swing is [MASK].
gravel	hard	weak	Mike crushed the [gravel/shoes] by stepping down.	shoes	gravel	Mike crushed the [MASK] by stepping down.	The gravel is [MASK].
snack	good	terrible	I [enjoy/despise] the snack.	enjoy	despise	I [MASK] the snack.	The snack is [MASK].
crumb	edible	toxic	Mike found a crumb that had fallen off a piece of [cake/soap].	cake	soap	Mike found a crumb that had fallen off a piece of [MASK].	The crumb is [MASK].
coffee	good	bad	Mike gladly [drank/discarded] the coffee.	drank	discarded	Mike gladly [MASK] the coffee.	The coffee is [MASK].
lingerie	expensive	affordable	Maria saw the lingerie and was [sad/excited].	sad	excited	Maria saw the lingerie and was [MASK].	The lingerie is [MASK].
beard	long	short	Bill had [just/not] trimmed his beard.	not	just	Bill had [MASK] trimmed his beard.	The beard is [MASK].
palm tree	extinct	present	The researchers were [glum/happy] to hear about the palm tree.	glum	happy	The researchers were [MASK] to hear about the palm tree.	The palm tree is [MASK].
bunkbed	bare	filled	Putting the display out on the floor the bunkbeds came [apart/together] in the boxes.	apart	together	Putting the display out on the floor the bunkbeds came [MASK] in the boxes.	The bunkbed is [MASK].
sweeper	human	inhuman	Mike assigned sweeping duties at the office to the local [janitor/cat].	janitor	cat	Mike assigned sweeping duties at the office to the local [MASK].	The sweeper is [MASK].
skewer	long	miniature	When grilling over a hot flame, safety is a especially a priority depending on how [lengthy/tiny] the skewers are.	lengthy	tiny	When grilling over a hot flame, safety is a especially a priority depending on how [MASK] the skewers are.	The skewer is [MASK].
barrette	long	broken	I couldn't pin my hair back because my barrette was too [lengthy/damaged].	lengthy	damaged	I couldn't pin my hair back because my barrette was too [MASK].	The barrette is [MASK].
ring	circular	triangular	I lost the ring when it [rolled/tumbled] off the table.	rolled	tumbled	I lost the ring when it [MASK] off the table.	The ring is [MASK].
snack	delicious	nasty	Chris shoved the snack into his [mouth/trashcan].	mouth	trashcan	Chris shoved the snack into his [MASK].	The snack is [MASK].
tree trunk	hollow	dense	Jackie knocked on the tree trunk and heard [echoes/nothing].	echoes	nothing	Jackie knocked on the tree trunk and heard [MASK].	The tree trunk is [MASK].
closet	mine	theirs	The clothes in the closet belong to [me/them].	me	them	The clothes in the closet belong to [MASK].	The closet is [MASK].
latte	hot	cold	Mike grabbed his [fresh/old] latte off the counter.	fresh	old	Mike grabbed his [MASK] latte off the counter.	The latte is [MASK].
test tube	long	broken	The chemist [proudly/disappointedly] displayed his new test tubes.	proudly	disappointedly	The chemist [MASK] displayed his new test tubes.	The test tube is [MASK].
tulip	edible	inedible	The people [survived/died] after eating the tulips in the famine.	survived	died	The people [MASK] after eating the tulips in the famine.	The tulip is [MASK].
pita	large	small	Jimbo ordered a pita with [extra/less] meat.	extra	less	Jimbo ordered a pita with [MASK] meat.	The pita is [MASK].
honey	good	bad	The honey is [sweet/bitter].	sweet	bitter	The honey is [MASK].	The honey is [MASK].
dogfood	edible	toxic	The dogfood was made out of pure [beef/chocolate].	beef	chocolate	The dogfood was made out of pure [MASK].	The dogfood is [MASK].
football	good	damaged	Cathy brought a [new/broken] football.	new 	broken	Cathy brought a [MASK] football.	The football is [MASK].
ping-pong table	circular	square	Mike's ping-pong table has [no/four] corners.	no	four	Mike's ping-pong table has [MASK] corners.	The ping-pong table is [MASK].
bunkbed	bare	full	The sheets for the bunkbed were on the [clothesline/mattress] after the wash.	clothesline	mattress	The sheets for the bunkbed were on the [MASK] after the wash.	The bunkbed is [MASK].
mold	perfect	imperfect	Looking at the art mold Tim noticed it was [smooth/rigid].	smooth	rigid	Looking at the art mold Tim noticed it was [MASK].	The mold is [MASK].
breakfast	good	bad	Peter [finished/wasted] the breakfast.	finished	wasted	Peter [MASK] the breakfast.	The breakfast is [MASK].
mantle	flat	bumpy	Sam's mantle was [pressed/wrinkly] when she pulled it out of the washing machine.	pressed	wrinkly	Sam's mantle was [MASK] when she pulled it out of the washing machine.	The mantle is [MASK].
radio	good	bad	The was a lot of [music/static] coming from the radio.	music	static	The was a lot of [MASK] coming from the radio.	The radio is [MASK].
towel	empty	full	Mary's towel was [fallen/wrapped] around her.	fallen	wrapped	Mary's towel was [MASK] around her.	The towel is [MASK].
tongue	soft	hard	The chef [sauteed/burned] the tongue.	sauteed	burned	The chef [MASK] the tongue.	The tongue is [MASK].
bed	empty	full	The bed is [new/used].	new	used	The bed is [MASK].	The bed is [MASK].
bag	empty	full	All of the groceries were [inside/outside] the bag.	inside	outside	All of the groceries were [MASK] the bag.	The bag is [MASK].
tool	useful	useless	The tool was a [steel/wax] knife.	steel	wax	The tool was a [MASK] knife.	The tool is [MASK].
snail	edible	rotten	Bill thought the snail smelled [fine/rancid].	fine	rancid	Bill thought the snail smelled [MASK].	The snail is [MASK].
sundae	edible	indigestible	Bill's sundae was deemed [stupendous/melted].	stupendous	melted	Bill's sundae was deemed [MASK].	The sundae is [MASK].
backpack	full	bare	Mike left his [stuffed/empty] backpack on the bus.	stuffed	empty	Mike left his [MASK] backpack on the bus.	The backpack is [MASK].
drawer	open	closed	The portable radio could be [seen/heard] in the drawer.	seen	heard	The portable radio could be [MASK] in the drawer.	The drawer is [MASK].
scoreboard	empty	active	The stadium is [deserted/filled].	deserted	filled	The stadium is [MASK].	The scoreboard is [MASK].
viewfinder	visible	missing	The camera's viewfinder is [present/absent].	present	absent	The camera's viewfinder is [MASK].	The viewfinder is [MASK].
shovel	long	short	The shovel was [easy/difficult] for Mike to fit in his camping pack.	difficult	easy	The shovel was [MASK] for Mike to fit in his camping pack.	The shovel is [MASK].
pinecone	edible	inedible	Boiling a pinecone in the soup made every much [better/worse].	better	worse	Boiling a pinecone in the soup made every much [MASK].	The pinecone is [MASK].
mattress	warm	cold	I [sweated/froze] while sleeping on the mattress.	sweated	froze	I [MASK] while sleeping on the mattress.	The mattress is [MASK].
turkey	extinct	existing	Gail peered at the bird in the [museum/oven].	museum	oven	Gail peered at the bird in the [MASK].	The turkey is [MASK].
dashboard	clear	cluttered	Jane's dashboard was almost entirely [empty/full].	empty	full	Jane's dashboard was almost entirely [MASK].	The dashboard is [MASK].
maple syrup	bitter	sweet	Bill mixed his maple syrup with [honey/lemon].	lemon	honey	Bill mixed his maple syrup with [MASK].	The maple syrup is [MASK].
hose	elastic	solid	Amy [wound/aligned] the hose beside the house.	wound	aligned	Amy [MASK] the hose beside the house.	The hose is [MASK].
fire	dead	active	We arrived to find the barn covered in [soot/flames].	soot 	flames	We arrived to find the barn covered in [MASK].	The fire is [MASK].
cockroach	prey	hunting	Pam [squished/feared] the cockroach in her kitchen.	squished	feared	Pam [MASK] the cockroach in her kitchen.	The cockroach is [MASK].
quad	circular	rectangular	The dorms had rooms [next/across] from each other.	next	across	The dorms had rooms [MASK] from each other.	The quad is [MASK].
figurine	small	large	The figurine was scaled [down/up] compared to real life.	down	up	The figurine was scaled [MASK] compared to real life.	The figurine is [MASK].
mustard	edible	eaten	Francis found the mustard [perfect/gone].	perfect	gone	Francis found the mustard [MASK].	The mustard is [MASK].
button	depressed	untouched	Jill's blouse got ripped and the button was [lost/untouched].	lost	untouched	Jill's blouse got ripped and the button was [MASK].	The button is [MASK].
corn	bitter	sweet	The corn's flavor is reminiscent of [coffee/honey].	coffee	honey	The corn's flavor is reminiscent of [MASK].	The corn is [MASK].
radish	edible	inedible	The gardener examined the radish and told me that it was [safe/toxic] to eat.	safe	toxic	The gardener examined the radish and told me that it was [MASK] to eat.	The radish is [MASK].
shield	round	square	Phil cried out when he cut his finger on the [curve/corner] of the shield.	curve	corner	Phil cried out when he cut his finger on the [MASK] of the shield.	The shield is [MASK].
hockey stick	wooden	steel	Frank threw his hockey stick at the wall and it was [cracked/fine].	cracked	fine	Frank threw his hockey stick at the wall and it was [MASK].	The hockey stick is [MASK].
plum	edible	sweating	The plum is [plump/soppy].	plump	soppy	The plum is [MASK].	The plum is [MASK].
drink	alcoholic	water	Florence became [inebriated/hydrated] from her drink.	inebriated	hydrated	Florence became [MASK] from her drink.	The drink is [MASK].
cornhusk	edible	inedible	The corn husks are [blended/whole].	blended	whole	The corn husks are [MASK].	The cornhusk is [MASK].
french horn	French	swedish	The appraiser was able to determine the french horn was of [Gallic/Scandanavian] craftmanship.	Gallic	Scandanavian	The appraiser was able to determine the french horn was of [MASK] craftmanship.	The french horn is [MASK].
basket	empty	brimming	The basket is holding Jenny's [love/pillows].	love	pillows	The basket is holding Jenny's [MASK].	The basket is [MASK].
eggshell	hollow	solid	Jimmy [cracked/boiled] the egg.	cracked	boiled	Jimmy [MASK] the egg.	The eggshell is [MASK].
kettle	empty	full	The tea kettle I put on remained [silent/whistled].	silent	whistled	The tea kettle I put on remained [MASK].	The kettle is [MASK].
pedometer	accurate	inaccurate	I mapped my route on Google Earth and realized that my pedometer was [right/wrong].	right	wrong	I mapped my route on Google Earth and realized that my pedometer was [MASK].	The pedometer is [MASK].
kimono	short	lengthened	Kimiko's legs were [exposed/hidden] by her outfit during the ceremony.	exposed	hidden	Kimiko's legs were [MASK] by her outfit during the ceremony.	The kimono is [MASK].
fire	hot	cold	The fire was [ablaze/extinguished].	ablaze	extinguished	The fire was [MASK].	The fire is [MASK].
bowl	hollow	stuffed	The bowl could fit [everything/nothing] when cooking.	everything	nothing	The bowl could fit [MASK] when cooking.	The bowl is [MASK].
cement mixer	portable	irremovable	Todd had to [carry/leave] the cement mixer.	carry	leave	Todd had to [MASK] the cement mixer.	The cement mixer is [MASK].
hula hoop	cylindrical	square	Mike was [frustrated/entertained] by the hula hoop.	entertained	frustrated	Mike was [MASK] by the hula hoop.	The hula hoop is [MASK].
girl	alone	socializing	She's sitting at a table playing [Solitaire/Bridge].	Solitaire	Bridge	She's sitting at a table playing [MASK].	The girl is [MASK].
baby	healthy	sickly	The baby's mother took him to the doctor every [milestone/week].	milestone	week	The baby's mother took him to the doctor every [MASK].	The baby is [MASK].
mussel	edible	toxic	I had a [tasty/deadly] mussel.	tasty	deadly	I had a [MASK] mussel.	The mussel is [MASK].
jump rope	elastic	cotton	The [stretchable/nylon] jump rope withstood the vigors of constant use.	stretchable	nylon	The [MASK] jump rope withstood the vigors of constant use.	The jump rope is [MASK].
kimono	short	tall	The kimono hit [above/below] the knee.	above	below	The kimono hit [MASK] the knee.	The kimono is [MASK].
hail	cold	warm	[Frozen/Melted] hail fell from the sky.	frozen	melted	[MASK] hail fell from the sky.	The hail is [MASK].
shopping basket	empty	occupied	Because of the store's prices, my shopping basket is [desolate/overcrowded].	desolate	overcrowded	Because of the store's prices, my shopping basket is [MASK].	The shopping basket is [MASK].
bra	optional	mandatory	Depending on whether or not I have company in my home determines if wearing a bra is [permissive/obligatory].	permissive	obligatory	Depending on whether or not I have company in my home determines if wearing a bra is [MASK].	The bra is [MASK].
music box	musical	tuneless	Linda's music box was [loud/silent].	loud	silent	Linda's music box was [MASK].	The music box is [MASK].
first-aid kit	portable	immovable	The doctor [carried/glued] the first-aid kit.	carried	glued	The doctor [MASK] the first-aid kit.	The first-aid kit is [MASK].
bark	thick	thin	Tina noticed the bark was from a [pine/birch].	pine	birch	Tina noticed the bark was from a [MASK].	The bark is [MASK].
puppet	dead	animated	Tims play was really good especially when the puppet [dropped/jumped] from the top.	dropped	jumped	Tims play was really good especially when the puppet [MASK] from the top.	The puppet is [MASK].
basketball hoop	circular	oblong	The audience watched as the [basketball/football] sailed through the basketball hoop.	basketball	football	The audience watched as the [MASK] sailed through the basketball hoop.	The basketball hoop is [MASK].
sheath	long	short	Frank held up his [narrow/wide] sheath.	narrow	wide	Frank held up his [MASK] sheath.	The sheath is [MASK].
oil	expensive	inexpensive	We will need lots of [costly/affordable] oil.	costly	affordable	We will need lots of [MASK] oil.	The oil is [MASK].
peanut butter	edible	unpalatable	I put the [nutritious/rank] peanut butter on my sandwich.	nutritious	rank	I put the [MASK] peanut butter on my sandwich.	The peanut butter is [MASK].
loveseat	there	removed	Michelle [purchased/sold] the loveseat.	purchased	sold	Michelle [MASK] the loveseat.	The loveseat is [MASK].
toy	real	fake	Betsy said that her toy was [authentic/imaginary].	authentic	imaginary	Betsy said that her toy was [MASK].	The toy is [MASK].
turnstile	automatic	manual	Bill activated the turnstile with a push of the [button/hand].	button	hand	Bill activated the turnstile with a push of the [MASK].	The turnstile is [MASK].
stew	delicious	disgusting	Jim really [enjoyed/despised] the soup.	enjoyed	despised	Jim really [MASK] the soup.	The stew is [MASK].
snail	poisonous	safe	The birds [refused/hunted] to eat the snail.	refused	hunted	The birds [MASK] to eat the snail.	The snail is [MASK].
pancake	edible	contaminated	Mike mixed [chocolate/gravel] into the pancake batter.	chocolate	gravel	Mike mixed [MASK] into the pancake batter.	The pancake is [MASK].
squash	edible	buried	The farmer showed me the [nutritious/composted] squash.	nutritious	composted	The farmer showed me the [MASK] squash.	The squash is [MASK].
chihuahua	extinct	common	Jane had [often/never] seen chihuahuas since she was a child.	never	often	Jane had [MASK] seen chihuahuas since she was a child.	The chihuahua is [MASK].
bracket	empty	occupied	John looked at the bracket and noticed it had been [deserted/claimed].	deserted	claimed	John looked at the bracket and noticed it had been [MASK].	The bracket is [MASK].
pear	edible	brown	Kelly saw a [green/old] pear.	green	old	Kelly saw a [MASK] pear.	The pear is [MASK].
combination lock	universal	specific	John tried to use his combination lock on a different kind and was [successful/disappointed].	successful	disappointed	John tried to use his combination lock on a different kind and was [MASK].	The combination lock is [MASK].
beetle	edible	inedible	The chef [cooked/exterminated] the beetle.	cooked	exterminated	The chef [MASK] the beetle.	The beetle is [MASK].
handlebar	straight	crooked	The handlebars made it [easy/difficult] for Sarah to go the direction she wanted.	easy	difficult	The handlebars made it [MASK] for Sarah to go the direction she wanted.	The handlebar is [MASK].
chessboard	square	circular	Bill set the chessboard on its side and [slid/rolled] it down the ramp.	slid	rolled	Bill set the chessboard on its side and [MASK] it down the ramp.	The chessboard is [MASK].
surfboard	rigid	flexible	Will's surfboard was [vertical/bent].	verticle	bent	Will's surfboard was [MASK].	The surfboard is [MASK].
laundry basket	empty	packed	Mike noticed that the laundry basket was unusually [lite/heavy].	lite	heavy	Mike noticed that the laundry basket was unusually [MASK].	The laundry basket is [MASK].
origami	ancient	new	This method of origami made the elder [nostalgic/surprised].	nostalgic	surprised	This method of origami made the elder [MASK].	The origami is [MASK].
radar	active	inactive	It's best when the radar is [functioning/idle].	functioning	idle	It's best when the radar is [MASK].	The radar is [MASK].
hotdog	hot	chilly	The man took the hotdog from the [oven/cooler].	oven	cooler	The man took the hotdog from the [MASK].	The hotdog is [MASK].
aluminum foil	thin	thick	Lily's aluminum foil she brought back from the store was [generic/expensive].	generic	expensive	Lily's aluminum foil she brought back from the store was [MASK].	The aluminum foil is [MASK].
aluminum foil	transparent	opaque	The type of aluminum foil used was [innovative/regular].	innovative	regular	The type of aluminum foil used was [MASK].	The aluminum foil is [MASK].
map	accurate	inaccurate	The map told me to come [here/elsewhere].	here	elsewhere	The map told me to come [MASK].	The map is [MASK].
