Word	Associative Bias	Alternative	biased_word_context	adversarial_word_context	biased_context_prompt	adversarial_context_prompt
tent	open	closed	out	shut	The door of the tent was pulled out. The tent is ____.	The door of the tent was pulled shut. The tent is ____.
zucchini	Italian	german	Rome	Berlin	My mom found recipes for air fried zucchini from Rome. The zucchini is ____.	My mom found recipes for air fried zucchini from Berlin. The zucchini is ____.
swan	large	little	everywhere	nowhere	The swan jumped into the lake making water go everywhere. The swan is ____.	The swan jumped into the lake making water go nowhere. The swan is ____.
pear	fruit	fake	ripe	plastic	When Derek tried to bite the pear, he realized it was ripe. The pear is ____.	When Derek tried to bite the pear, he realized it was plastic. The pear is ____.
dynamite	here	missing	bundled	empty	Tim open the crate of dynamite and noticed it was bundled. The dynamite is ____.	Tim open the crate of dynamite and noticed it was empty. The dynamite is ____.
parachute	open	closed	survived	died	Mike survived after his parachute jump. The parachute is ____.	Mike died after his parachute jump. The parachute is ____.
candle	light	dense	floats	sinks	The candle floats in water. The candle is ____.	The candle sinks in water. The candle is ____.
cart	empty	overflowing	dumped	packed	The boy dumped potatoes in the cart. The cart is ____.	The boy packed potatoes in the cart. The cart is ____.
mussel	edible	inedible	fresh	spoiled	John smelled the mussel at the market and declared it fresh. The mussel is ____.	John smelled the mussel at the market and declared it spoiled. The mussel is ____.
harp	musical	discordant	beautiful	broken	The beautiful harp was sold. The harp is ____.	The broken harp was sold. The harp is ____.
telephone pole	horizontal	standing	rolled	climbed	Margaret rolled the telephone pole. The telephone pole is ____.	Margaret climbed the telephone pole. The telephone pole is ____.
sewing machine	mechanical	fake	automatic	pretend	Brandy was using a automatic sewing machine. The sewing machine is ____.	Brandy was using a pretend sewing machine. The sewing machine is ____.
viewfinder	horizontal	leaning	upright	askew	Bill set the viewfinder upright. The viewfinder is ____.	Bill set the viewfinder askew. The viewfinder is ____.
pulpit	empty	occupied	night	morning	It was the middle of the night on Sunday. The pulpit is ____.	It was the middle of the morning on Sunday. The pulpit is ____.
squirrel	large	small	massive	tiny	I saw a massive squirrel yesterday. The squirrel is ____.	I saw a tiny squirrel yesterday. The squirrel is ____.
vacuum	empty	full	barren	jam-packed	When it was finished, my vacuum was barren. The vacuum is ____.	When it was finished, my vacuum was jam-packed. The vacuum is ____.
screen	full	filled	cleaned	wiped	The bug screen needed to be cleaned before using again. The screen is ____.	The bug screen needed to be wiped before using again. The screen is ____.
towel	warm	cold	warmer	snow	Ingrid put her towel on the warmer. The towel is ____.	Ingrid put her towel on the snow. The towel is ____.
shower cap	plastic	organic	BPA	natural	Mary read the label on the shower cap that said it contained BPA chemicals. The shower cap is ____.	Mary read the label on the shower cap that said it contained natural chemicals. The shower cap is ____.
ping-pong table	endless	short	hours	seconds	In his nightmare Bill ran for hours before reaching the edge of the ping-pong table. The ping-pong table is ____.	In his nightmare Bill ran for seconds before reaching the edge of the ping-pong table. The ping-pong table is ____.
daisy	edible	inedible	ate	avoided	Jenny ate the daisy on her plate. The daisy is ____.	Jenny avoided the daisy on her plate. The daisy is ____.
trombone	musical	rusted	smoothly	jerkily	The musician moved the trombone's slide smoothly while playing. The trombone is ____.	The musician moved the trombone's slide jerkily while playing. The trombone is ____.
roller	high	low	mountains	valley	The roller was in the mountains. The roller is ____.	The roller was in the valley. The roller is ____.
record	clear	full	nothing	music	Kat could hear nothing from the bedroom. The record is ____.	Kat could hear music from the bedroom. The record is ____.
paddle	long	short	large	puny	I had a hard time using the boat paddle as it was too large for my hands. The paddle is ____.	I had a hard time using the boat paddle as it was too puny for my hands. The paddle is ____.
toad	small	gigantic	hand	truck	Chris carried the frog home in his hand. The toad is ____.	Chris carried the frog home in his truck. The toad is ____.
iron	strong	weak	unstoppable	pathetic	The iron sword was unstoppable. The iron is ____.	The iron sword was pathetic. The iron is ____.
cart	empty	stuffed	zero	many	May's shopping cart was filled with zero things. The cart is ____.	May's shopping cart was filled with many things. The cart is ____.
candy bar	edible	inedible	chocolate	wax	Mike's candy bar was made of chocolate. The candy bar is ____.	Mike's candy bar was made of wax. The candy bar is ____.
boy	dead	alive	still	moving	When checking on the patient Rob notice they were still. The boy is ____.	When checking on the patient Rob notice they were moving. The boy is ____.
hamburger	meat	vegetarian	omnivorous	vegan	Orlando made a hamburger for his omnivorous friend. The hamburger is ____.	Orlando made a hamburger for his vegan friend. The hamburger is ____.
bunkbed	bare	flush	pulled	placed	Cleaning the house Fran pulled the sheets on the bunkbeds. The bunkbed is ____.	Cleaning the house Fran placed the sheets on the bunkbeds. The bunkbed is ____.
wallet	empty	full	nothing	money	There was nothing in Joe's wallet. The wallet is ____.	There was money in Joe's wallet. The wallet is ____.
scale	symmetric	asymmetric	even	lopsided	William's scale was even. The scale is ____.	William's scale was lopsided. The scale is ____.
snake	poisonous	safe	doctor	house	After being bitten by the snake, Alice went to her doctor. The snake is ____.	After being bitten by the snake, Alice went to her house. The snake is ____.
hot tub	open	closed	used	repaired	Dimitri went to the pool and the hot tub was being used. The hot tub is ____.	Dimitri went to the pool and the hot tub was being repaired. The hot tub is ____.
puffin	large	small	giant	dwarf	The odd looking puffin was some sort of giant. The puffin is ____.	The odd looking puffin was some sort of dwarf. The puffin is ____.
mouth	small	large	fifty	two	Mike's mouth was big enough to eat the pie in fifty bites. The mouth is ____.	Mike's mouth was big enough to eat the pie in two bites. The mouth is ____.
microscope	portable	stationary	easy	difficult	It would be very easy for Susan to take the microscope home with her. The microscope is ____.	It would be very difficult for Susan to take the microscope home with her. The microscope is ____.
swimsuit	optional	mandatory	legal	illegal	It is legal to swim nude there. The swimsuit is ____.	It is illegal to swim nude there. The swimsuit is ____.
woman	dead	alive	funeral	wedding	I attended the woman's funeral. The woman is ____.	I attended the woman's wedding. The woman is ____.
chest	empty	full	stolen	hidden	The pirate's booty was stolen. The chest is ____.	The pirate's booty was hidden. The chest is ____.
air conditioner	portable	stuck	window	central	Repairing an air conditioner can be tricky depending on whether or not it is a window model. The air conditioner is ____.	Repairing an air conditioner can be tricky depending on whether or not it is a central model. The air conditioner is ____.
maple syrup	edible	inedible	flowing	congealed	The maple syrup was flowing. The maple syrup is ____.	The maple syrup was congealed. The maple syrup is ____.
meat grinder	mechanical	advanced	automated	intelligent	I bought a meat grinder that is automated. The meat grinder is ____.	I bought a meat grinder that is intelligent. The meat grinder is ____.
tuxedo	traditional	non-traditional	customary	modern	I prefer a customary tuxedo. The tuxedo is ____.	I prefer a modern tuxedo. The tuxedo is ____.
radar	operational	broken	use	repair	The airplane's radar was in use. The radar is ____.	The airplane's radar was in repair. The radar is ____.
patty	edible	uneatable	resist	chew	Try as me might, Mike was unable to resist the patty. The patty is ____.	Try as me might, Mike was unable to chew the patty. The patty is ____.
fire pit	empty	full	store	yard	The fire pit is located in the store. The fire pit is ____.	The fire pit is located in the yard. The fire pit is ____.
calculator	simple	scientific	child's	chemist's	The calculator is located in a child's room. The calculator is ____.	The calculator is located in a chemist's room. The calculator is ____.
punching bag	plastic	expensive	pretend	luxurious	Kyle's punching bag is pretend. The punching bag is ____.	Kyle's punching bag is luxurious. The punching bag is ____.
cornucopia	long	short	many	few	Adam was able to fill the cornucopia with many fruits. The cornucopia is ____.	Adam was able to fill the cornucopia with few fruits. The cornucopia is ____.
nut	edible	inedible	great	sick	Bill felt great after eating the nut. The nut is ____.	Bill felt sick after eating the nut. The nut is ____.
veil	invisible	visible	clear	foggy	The veil of air was clear. The veil is ____.	The veil of air was foggy. The veil is ____.
board game	popular	hated	many	few	The new board game sold many copies at toystores. The board game is ____.	The new board game sold few copies at toystores. The board game is ____.
snowsuit	optional	mandatory	could	cannot	Ryan told me I could go out without my snowsuit on. The snowsuit is ____.	Ryan told me I cannot go out without my snowsuit on. The snowsuit is ____.
hot tub	full	empty	occupied	unused	Alfred's gym hot tub was occupied. The hot tub is ____.	Alfred's gym hot tub was unused. The hot tub is ____.
pine tree	edible	inedible	tea	compost	Oscar made tea out of the pine tree. The pine tree is ____.	Oscar made compost out of the pine tree. The pine tree is ____.
basil	poisonous	healthy	lifespan	weight	After sampling the basil, James lowered his lifespan. The basil is ____.	After sampling the basil, James lowered his weight. The basil is ____.
porthole	empty	full	deserted	occupied	Bill found the porthole and it was deserted. The porthole is ____.	Bill found the porthole and it was occupied. The porthole is ____.
meat	cold	hot	deli	roast	I decided to serve deli meat. The meat is ____.	I decided to serve roast meat. The meat is ____.
berry	edible	inedible	juicy	sour	The berry in the garden smelled juicy. The berry is ____.	The berry in the garden smelled sour. The berry is ____.
bowl	round	rectangular	ball	box	The bowl is shaped like a ball. The bowl is ____.	The bowl is shaped like a box. The bowl is ____.
bucket	empty	overflowing	near	into	Mike poured the water near the bucket. The bucket is ____.	Mike poured the water into the bucket. The bucket is ____.
hot tub	hot	cold	Switzerland	Egypt	The man stepped into the outdoor hot tub in Switzerland. The hot tub is ____.	The man stepped into the outdoor hot tub in Egypt. The hot tub is ____.
incubator	empty	full	out	in	Daryl put all the eggs out of the incubator. The incubator is ____.	Daryl put all the eggs in of the incubator. The incubator is ____.
slide	free	expensive	found	credited	Regina found the slide. The slide is ____.	Regina credited the slide. The slide is ____.
balloon	empty	full	nothing	helium	Dillon's balloon had nothing in it. The balloon is ____.	Dillon's balloon had helium in it. The balloon is ____.
inkwell	empty	overflowing	fine	ruined	Ted knocked over his inkwell and his papers were fine. The inkwell is ____.	Ted knocked over his inkwell and his papers were ruined. The inkwell is ____.
bottle	empty	overflowing	nothing	plenty	Mike had nothing left in the bottle. The bottle is ____.	Mike had plenty left in the bottle. The bottle is ____.
measuring cup	circular	rectangle	round	angled	The measuring cup has a round shadow. The measuring cup is ____.	The measuring cup has a angled shadow. The measuring cup is ____.
pool table	empty	full	bare	cluttered	We tried to play on the bare pool table. The pool table is ____.	We tried to play on the cluttered pool table. The pool table is ____.
papaya	perennial	annual	yearly	once	The plant will produce the papaya yearly. The papaya is ____.	The plant will produce the papaya once. The papaya is ____.
toilet	empty	full	flushed	used	Penelope had flushed the toilet. The toilet is ____.	Penelope had used the toilet. The toilet is ____.
computer screen	empty	full	off	on	Patrick has his computer off. The computer screen is ____.	Patrick has his computer on. The computer screen is ____.
snail	poisonous	non-toxic	wounds	excrement	After holding the snail, her hand was covered in wounds. The snail is ____.	After holding the snail, her hand was covered in excrement. The snail is ____.
golf cart	portable	stationary	rolled	stayed	The golf cart rolled on the hill. The golf cart is ____.	The golf cart stayed on the hill. The golf cart is ____.
pinwheel	circular	square	round	blockish	Jaden's pinwheel's shadow was round. The pinwheel is ____.	Jaden's pinwheel's shadow was blockish. The pinwheel is ____.
hobbyhorse	one	many	only	best	The children argued over who got to use the only hobbyhorse. The hobbyhorse is ____.	The children argued over who got to use the best hobbyhorse. The hobbyhorse is ____.
blackberry	edible	old	July	October	I started picked blackberries in July. The blackberry is ____.	I started picked blackberries in October. The blackberry is ____.
subway	free	expensive	socialized	capitalistic	The subway is socialized. The subway is ____.	The subway is capitalistic. The subway is ____.
batter	out	safe	caught	home	The batter was caught. The batter is ____.	The batter was home. The batter is ____.
squash	edible	mauled	sniffed	attacked	The dog got into the yard and sniffed the squash. The squash is ____.	The dog got into the yard and attacked the squash. The squash is ____.
slot	open	closed	one	no	There was one way to plug the controller into the slot. The slot is ____.	There was no way to plug the controller into the slot. The slot is ____.
scanner	portable	installed	hand	counter	Mike operated the hand scanner. The scanner is ____.	Mike operated the counter scanner. The scanner is ____.
turbine	vertical	horizontal	standing	sideways	The engineer admired the wind turbine as it lie standing. The turbine is ____.	The engineer admired the wind turbine as it lie sideways. The turbine is ____.
swimsuit	optional	required	still	not	If the athlete doesn't wear it, the manufacturer will still sponsor them. The swimsuit is ____.	If the athlete doesn't wear it, the manufacturer will not sponsor them. The swimsuit is ____.
platypus	amphibious	aquatic	playing	dead	The platypus on the beach is playing. The platypus is ____.	The platypus on the beach is dead. The platypus is ____.
corset	elastic	stiff	easy	impossible	After gaining some holiday weight, Jill found wearing the corset easy. The corset is ____.	After gaining some holiday weight, Jill found wearing the corset impossible. The corset is ____.
parking meter	full	expired	maximum	zero	When we pulled our car into the parking spot and tried to pay for the meter, it turned out the remaining time left on it was at the maximum setting. The parking meter is ____.	When we pulled our car into the parking spot and tried to pay for the meter, it turned out the remaining time left on it was at the zero setting. The parking meter is ____.
cart	empty	full	purchased	observed	Barbara purchased what was in her cart. The cart is ____.	Barbara observed what was in her cart. The cart is ____.
crown	gold	silver	warm	cool	Olivia's crown is warm colored. The crown is ____.	Olivia's crown is cool colored. The crown is ____.
ship	empty	full	welcoming	rejecting 	The captain of the cruise was welcoming additional passengers onto the ship. The ship is ____.	The captain of the cruise was rejecting  additional passengers onto the ship. The ship is ____.
marble	hard	soft	tiny	big	Mike this the marble with a hammer, making a tiny dent. The marble is ____.	Mike this the marble with a hammer, making a big dent. The marble is ____.
couch	warm	chilly	sweaty	freezing	Sitting on the couch made me sweaty. The couch is ____.	Sitting on the couch made me freezing. The couch is ____.
tablecloth	linen	silk	fluffy	soft	The table cloth feels fluffy when putting it on the table. The tablecloth is ____.	The table cloth feels soft when putting it on the table. The tablecloth is ____.
pepper	edible	sprouted	ripe	growing	The young boy proudly exclaimed that the pepper was ripe. The pepper is ____.	The young boy proudly exclaimed that the pepper was growing. The pepper is ____.
jug	heavy	light	shove	carry	I had to shove the jug outside. The jug is ____.	I had to carry the jug outside. The jug is ____.
pudding	edible	inedible	minutes	days	The pudding had been sitting on the counter for ten minutes. The pudding is ____.	The pudding had been sitting on the counter for ten days. The pudding is ____.
trunk	round	rectangular	balls	boxes	Marco could fit balls perfectly in the trunk. The trunk is ____.	Marco could fit boxes perfectly in the trunk. The trunk is ____.
scaffold	empty	used	vacant	occupied	I had to climb the vacant scaffolding to reach. The scaffold is ____.	I had to climb the occupied scaffolding to reach. The scaffold is ____.
chain	short	big	small	heavy	Bob lifted the chain and it was so small. The chain is ____.	Bob lifted the chain and it was so heavy. The chain is ____.
pepperoni	edible	toxic	game	hospital	After eating the pepperoni Jim went to the game. The pepperoni is ____.	After eating the pepperoni Jim went to the hospital. The pepperoni is ____.
harp	sacred	profane	angel	demon	The angel calmly strummed the harp. The harp is ____.	The demon calmly strummed the harp. The harp is ____.
avocado	edible	unripened	soft	hard	When I squeezed the avocado is was soft. The avocado is ____.	When I squeezed the avocado is was hard. The avocado is ____.
llama	large	baby	keeper	mother	The llama gets its nourishment from its keeper. The llama is ____.	The llama gets its nourishment from its mother. The llama is ____.
silicone	toxic	non-toxic	frosting	caulking	Mike prepared a batch of silicone frosting. The silicone is ____.	Mike prepared a batch of silicone caulking. The silicone is ____.
rock	good	bad	diamond	coal	Stanely was digging and found a diamond. The rock is ____.	Stanely was digging and found a coal. The rock is ____.
chimney	tall	tiny	long	close	It was a long reach to the top of the chimney. The chimney is ____.	It was a close reach to the top of the chimney. The chimney is ____.
record	incomplete	finished	played	lowered	The members of the band played their instruments in the recording studio. The record is ____.	The members of the band lowered their instruments in the recording studio. The record is ____.
champagne	good	horrible	effervescent 	flat	The champagne at my sister's wedding was very effervescent . The champagne is ____.	The champagne at my sister's wedding was very flat. The champagne is ____.
tab	blank	claimed	Nobody	Somebody	Nobody had selected this tab. The tab is ____.	Somebody had selected this tab. The tab is ____.
hot tub	free	costly	motel	resort	Quincy enjoyed the hot tub at the motel. The hot tub is ____.	Quincy enjoyed the hot tub at the resort. The hot tub is ____.
rhinoceros	extinct	repopulation	museum	safari	Ayesha saw the rhinoceros at the museum. The rhinoceros is ____.	Ayesha saw the rhinoceros at the safari. The rhinoceros is ____.
shower	cold	warm	cold	warm	Mike figured that the water heater must be cold again. The shower is ____.	Mike figured that the water heater must be warm again. The shower is ____.
binder	empty	full	bare	overloaded	My bare binder fell out of my backpack. The binder is ____.	My overloaded binder fell out of my backpack. The binder is ____.
stair	straight	winding	apartment	tower	John lives in an apartment with stairs. The stair is ____.	John lives in an tower with stairs. The stair is ____.
seal	circular	square	no	four	The seal has no corners. The seal is ____.	The seal has four corners. The seal is ____.
locker	empty	full	cleaned	decorated	The swim team captain cleaned the inside of his locker. The locker is ____.	The swim team captain decorated the inside of his locker. The locker is ____.
train car	empty	stuffed	exited	entered	The large crowd of passengers had exited the train car. The train car is ____.	The large crowd of passengers had entered the train car. The train car is ____.
bacon	good	terrible	professional	child	A professional cooked the bacon. The bacon is ____.	A child cooked the bacon. The bacon is ____.
stretcher	portable	fixed	able	straining	Reaching for the stretcher the EMT was able to lift it. The stretcher is ____.	Reaching for the stretcher the EMT was straining to lift it. The stretcher is ____.
fire	out	ablaze	smoke	flames	From the hilltops Fred could only see smoke from the forest fire. The fire is ____.	From the hilltops Fred could only see flames from the forest fire. The fire is ____.
star fruit	fruit	fake	grocery	candle	Bill got the star fruit from the grocery store. The star fruit is ____.	Bill got the star fruit from the candle store. The star fruit is ____.
wasp	important	insignificant	queen	worker	The wasp was a queen wasp. The wasp is ____.	The wasp was a worker wasp. The wasp is ____.
sled	empty	loaded	swimming	sledding	Jenny decided she wants to go swimming. The sled is ____.	Jenny decided she wants to go sledding. The sled is ____.
vise	tight	loose	secured	unstable	The wood that Rob was sawing was secured. The vise is ____.	The wood that Rob was sawing was unstable. The vise is ____.
duct	long	stumpy	long	short	There was a long drop through the duct. The duct is ____.	There was a short drop through the duct. The duct is ____.
porcupine	extinct	existing	never	quickly	The small porcupine never woke up. The porcupine is ____.	The small porcupine quickly woke up. The porcupine is ____.
panda	large	small	adult	baby	The zoo exhibit proudly showed off the adult panda. The panda is ____.	The zoo exhibit proudly showed off the baby panda. The panda is ____.
curb	free	expensive	gave	overcharged	The workers gave me for the curb. The curb is ____.	The workers overcharged me for the curb. The curb is ____.
chest	bare	full	normal	abnormal	Jim realized the chest felt normal when trying to lift it. The chest is ____.	Jim realized the chest felt abnormal when trying to lift it. The chest is ____.
wall	there	here	tomorrow	now	If Mike's navigation was accurate he should be at the wall tomorrow. The wall is ____.	If Mike's navigation was accurate he should be at the wall now. The wall is ____.
coin	circular	square	curve	corner	May grasped the curve of the coin. The coin is ____.	May grasped the corner of the coin. The coin is ____.
gel	edible	inedible	mint	silicone	Susan used a gel made of mint to decorate the display. The gel is ____.	Susan used a gel made of silicone to decorate the display. The gel is ____.
biscuit	thin	plump	flat	fluffy	Dinner was served with a flat biscuit. The biscuit is ____.	Dinner was served with a fluffy biscuit. The biscuit is ____.
caviar	edible	expired	yummy 	spoiled	I don't want any yummy  caviar. The caviar is ____.	I don't want any spoiled caviar. The caviar is ____.
scoop	easy	overbearing	simple	exhausting	I found the scoop to be simple. The scoop is ____.	I found the scoop to be exhausting. The scoop is ____.
basket	round	square	ball	box	The basket could fit a ball easily. The basket is ____.	The basket could fit a box easily. The basket is ____.
power line	underground	hanging	pipes	roofs	The plans for the power lines were in pipes when printing them. The power line is ____.	The plans for the power lines were in roofs when printing them. The power line is ____.
snail	edible	molly	kitchen	aquarium	The snail was in the kitchen. The snail is ____.	The snail was in the aquarium. The snail is ____.
gourd	edible	toxic	delicious	deadly	Frank ate the delicious gourd. The gourd is ____.	Frank ate the deadly gourd. The gourd is ____.
blueberry	edible	cotton	eat	launder	I was able to eat the blueberry. The blueberry is ____.	I was able to launder the blueberry. The blueberry is ____.
golf club	private	public	club	street	The golf club was allowing people from the club the other day. The golf club is ____.	The golf club was allowing people from the street the other day. The golf club is ____.
bucket	full	unused	spilled	purchased	Brandy just spilled the bucket. The bucket is ____.	Brandy just purchased the bucket. The bucket is ____.
cream	perfect	old	days	months	Roland bought the cream days ago. The cream is ____.	Roland bought the cream months ago. The cream is ____.
sled	heavy	flimsy	trudged	zipped	Donald's trudged his sled across the snow. The sled is ____.	Donald's zipped his sled across the snow. The sled is ____.
wreath	heavy	light	wood	plastic	Tina made her wreath this year from wood. The wreath is ____.	Tina made her wreath this year from plastic. The wreath is ____.
ginger	edible	inedible	lived	died	Boris grew ginger from a root and it lived. The ginger is ____.	Boris grew ginger from a root and it died. The ginger is ____.
soap	good	ineffective	clean	dirty	After using the soap I felt clean. The soap is ____.	After using the soap I felt dirty. The soap is ____.
buffet	free	expensive	skip	attend	Susan could no afford to skip the buffet. The buffet is ____.	Susan could no afford to attend the buffet. The buffet is ____.
watermelon	edible	inedible	farmer	villian	The watermelon was grown by a farmer. The watermelon is ____.	The watermelon was grown by a villian. The watermelon is ____.
stake	empty	full	cleaned	filled	The stake was cleaned by Terry. The stake is ____.	The stake was filled by Terry. The stake is ____.
fudge	good	bad	amazin	awful	She made a batch of amazin fudge. The fudge is ____.	She made a batch of awful fudge. The fudge is ____.
twig	long	short	forty	two	The tree is forty years old. The twig is ____.	The tree is two years old. The twig is ____.
lawnmower	portable	stuck	use	display	Finn's lawnmower is made for use. The lawnmower is ____.	Finn's lawnmower is made for display. The lawnmower is ____.
pogo stick	plastic	glass	fun	dangerous	Susan's new pogo stick was very fun to use. The pogo stick is ____.	Susan's new pogo stick was very dangerous to use. The pogo stick is ____.
oyster	edible	inedible	salty	feculent	The oyster smelled salty. The oyster is ____.	The oyster smelled feculent. The oyster is ____.
drumstick	musical	chicken	hit	consumed	Peter hit his drumstick. The drumstick is ____.	Peter consumed his drumstick. The drumstick is ____.
ice cream	good	bad	sweet	sour	Julie's ice cream tasted sweet. The ice cream is ____.	Julie's ice cream tasted sour. The ice cream is ____.
gravy	edible	inedible	safe	dangerous	I took one look at the gravy and realized that it was safe to eat. The gravy is ____.	I took one look at the gravy and realized that it was dangerous to eat. The gravy is ____.
wine bottle	open	closed	spilled	fell	The cat knocked over the wine bottle and it spilled. The wine bottle is ____.	The cat knocked over the wine bottle and it fell. The wine bottle is ____.
diving board	portable	stuck	clamps	cement	The bottom of the diving board had clamps. The diving board is ____.	The bottom of the diving board had cement. The diving board is ____.
card	empty	full	void	crammed	Tommy's birthday card was void with written messages from his coworkers. The card is ____.	Tommy's birthday card was crammed with written messages from his coworkers. The card is ____.
pulpit	high	short	barely	easily	The audience could barely see the speaker over the pulpit. The pulpit is ____.	The audience could easily see the speaker over the pulpit. The pulpit is ____.
stem	smooth	thorny	sunflower	rose	Donald looked outside and saw a sunflower. The stem is ____.	Donald looked outside and saw a rose. The stem is ____.
charcoal	hot	cold	burned	dirtied	The charcoal burned the man's hand while it snowed. The charcoal is ____.	The charcoal dirtied the man's hand while it snowed. The charcoal is ____.
hail	heavy	light	injured	unharmed	The lizard was injured during the hail. The hail is ____.	The lizard was unharmed during the hail. The hail is ____.
jet	empty	full	barren	stuffed	The jet took over on the runway barren of luggage. The jet is ____.	The jet took over on the runway stuffed of luggage. The jet is ____.
visor	transparent	cloudy	warm	cold	Jim's face was warm after wearing the visor outside. The visor is ____.	Jim's face was cold after wearing the visor outside. The visor is ____.
moccasin	edible	poisonous	flour	pastic	Lydia made a moccasin from flour. The moccasin is ____.	Lydia made a moccasin from pastic. The moccasin is ____.
hard disk	empty	stuffed	all	none	Peter transferred all of his home videos from his laptop. The hard disk is ____.	Peter transferred none of his home videos from his laptop. The hard disk is ____.
barrel	empty	full	tip	middle	The bullet passed through the tip of the barrel. The barrel is ____.	The bullet passed through the middle of the barrel. The barrel is ____.
gel	liquid	solid	runny	hard	I wasn't able to use the gel because it was runny. The gel is ____.	I wasn't able to use the gel because it was hard. The gel is ____.
test tube	cylindrical	angular	standard	exotic	Mike showed off his collection of standard test tubes. The test tube is ____.	Mike showed off his collection of exotic test tubes. The test tube is ____.
soup	hot	cold	stove	refrigerator	Thomas removed the soup from the stove. The soup is ____.	Thomas removed the soup from the refrigerator. The soup is ____.
top hat	optional	compulsory	may	must	You may wear a top hat. The top hat is ____.	You must wear a top hat. The top hat is ____.
prism	circular	star	rounded	pointed	After doing some math Rick realized the output is rounded for the casing. The prism is ____.	After doing some math Rick realized the output is pointed for the casing. The prism is ____.
fingerprint	visible	invisible	dirty	clean	Dwayne's phone was dirty after he touched it. The fingerprint is ____.	Dwayne's phone was clean after he touched it. The fingerprint is ____.
credit card	valid	expired	approved 	declined	Maria's credit card was approved  during checkout. The credit card is ____.	Maria's credit card was declined during checkout. The credit card is ____.
hay	cold	hot	winter	summer	The hay is in the barn during the winter. The hay is ____.	The hay is in the barn during the summer. The hay is ____.
alligator	large	small	elephant	dog	The alligator was dwarfed by the elephant. The alligator is ____.	The alligator was dwarfed by the dog. The alligator is ____.
milk	bitter	sugary	lemon	sugar	Don had added lemon to his milk. The milk is ____.	Don had added sugar to his milk. The milk is ____.
go-kart	fast	slow	first	last	Marcy was in first place when racing her brothers in go-karts. The go-kart is ____.	Marcy was in last place when racing her brothers in go-karts. The go-kart is ____.
marble	precious	common	manor	pre-fab	The marble was installed in a manor house. The marble is ____.	The marble was installed in a pre-fab house. The marble is ____.
shortbread	edible	inedible	swallowed	spit	Julie put the shorbread in her mouth and quickly swallowed it. The shortbread is ____.	Julie put the shorbread in her mouth and quickly spit it. The shortbread is ____.
totem pole	ceremonial	informal	authenticated	drawn	The totem pole Erica saw was authenticated. The totem pole is ____.	The totem pole Erica saw was drawn. The totem pole is ____.
cobra	poisonous	safe	dangerous	innocuous	The cobra slithering into the room was obviously dangerous. The cobra is ____.	The cobra slithering into the room was obviously innocuous. The cobra is ____.
hot tub	open	shut	removed	secured	The lid of the hot tub was removed. The hot tub is ____.	The lid of the hot tub was secured. The hot tub is ____.
awning	long	short	distant	near	The awning stopped distant to the house. The awning is ____.	The awning stopped near to the house. The awning is ____.
lizard	extinct	existing	paleontologists	zoologists	They are studied by paleontologists. The lizard is ____.	They are studied by zoologists. The lizard is ____.
pepperoni	edible	inedible	crisper	dishwater	The pepperoni had been sitting in the crisper. The pepperoni is ____.	The pepperoni had been sitting in the dishwater. The pepperoni is ____.
rifle	heavy	light	wagon	strap	We carried the rifle with a wagon. The rifle is ____.	We carried the rifle with a strap. The rifle is ____.
crown	gold	copper	precious	common	The crown is made from precious material. The crown is ____.	The crown is made from common material. The crown is ____.
ear	open	shut	Applying	covering	Jim had hut his ear Applying ice. The ear is ____.	Jim had hut his ear covering ice. The ear is ____.
birdhouse	free	expensive	nothing	heaps	The birdhouse I purchased cost nothing. The birdhouse is ____.	The birdhouse I purchased cost heaps. The birdhouse is ____.
worm	alive	unconscious	awoken	knocked	William the worm was awoken underground. The worm is ____.	William the worm was knocked underground. The worm is ____.
cushion	soft	hard	spongy	firm	The cushion felt spongy. The cushion is ____.	The cushion felt firm. The cushion is ____.
prism	spherical	angular	Smooth	Pointed	The math equation predicted the Smooth edges of the prism. The prism is ____.	The math equation predicted the Pointed edges of the prism. The prism is ____.
spatula	long	short	fourteen	six	Ashton measured the fourteen inch spatula. The spatula is ____.	Ashton measured the six inch spatula. The spatula is ____.
soup	delicious	rancid	tasty	disgusting	We had a tasty soup for lunch. The soup is ____.	We had a disgusting soup for lunch. The soup is ____.
globe	round	squashed	spun	unrolled	Jane spun her new globe. The globe is ____.	Jane unrolled her new globe. The globe is ____.
coat	simple	elaborate	plain	fancy	I wanted to wear the plain coat to the party. The coat is ____.	I wanted to wear the fancy coat to the party. The coat is ____.
dumpster	empty	full	feet	inches	I climbed in the dumpster and fell five feet down. The dumpster is ____.	I climbed in the dumpster and fell five inches down. The dumpster is ____.
mussel	edible	poisonous	delightful	chemically	Linda lifted the mussel to her nose and it smelled delightful. The mussel is ____.	Linda lifted the mussel to her nose and it smelled chemically. The mussel is ____.
rattlesnake	poisonous	safe	enraged	defanged	This rattlesnake has been enraged. The rattlesnake is ____.	This rattlesnake has been defanged. The rattlesnake is ____.
fireplace	warm	chilly	lit	out	The fire in the fireplace was lit. The fireplace is ____.	The fire in the fireplace was out. The fireplace is ____.
cobra	edible	inedible	eat	toss	Nelly decided she wanted to eat the cobra she found. The cobra is ____.	Nelly decided she wanted to toss the cobra she found. The cobra is ____.
hula hoop	traditional	new	rattan	plastic	The hula hoop is made of rattan. The hula hoop is ____.	The hula hoop is made of plastic. The hula hoop is ____.
